Service Center,County,Initial Services Sought at First Visit,Attended Group Training?,"Total Counseling Time, hrs",Business Status,Impact: Capital Investments,Impact: Created New Jobs,Impact: Revenue Increase,Impact: Started Business,Company's Total employees,"Company's Gross Revenue, $",NAICS code,Ownership Gender,Owner's Hispanic Origin,Owner's Race
Anne Arundel County,Anne Arundel,Counseling,No,3.5,Started with SBDC,0,0,0,Not applicable: Already in Business,1,60000,56,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,3,Started with SBDC,0,0,0,Yes,1,75000,54,Male-Owned,Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,3,150000,11,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,Pre-venture/Nascent,0,0,0,No,0,0,48,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,12,1200000,33,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,2.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,17,150000,72,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,154,In Business (> 1 year),0,2,500000,Not applicable: Already in Business,9,1695169,42,Male-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,7.75,Started with SBDC,652900,27,0,Not applicable: Already in Business,35,500000,61,Woman-Owned,Choose not to respond,Choose not to respond
Anne Arundel County,Anne Arundel,Counseling,No,1.5,Started with SBDC,0,0,0,Not applicable: Already in Business,1,60000,48,Woman-Owned,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,10,In Business (> 1 year),0,0,0,Not applicable: Already in Business,6,150000,51,Male-Owned,Choose not to respond,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,Started with SBDC,0,0,0,Not applicable: Already in Business,2,60000,71,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,3.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,81,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Howard,Counseling,No,9,In Business (> 1 year),0,4,1200000,Not applicable: Already in Business,4,1200000,48,Male-Owned,Non-Hispanic,Black or African American
Baltimore City,Prince Georges,Training,Yes,30.16666669,Started with SBDC,156000,1,0,Yes,1,60000,31,Choose not to respond,Non-Hispanic,Black or African American
Anne Arundel County,Anne Arundel,Counseling,No,33,In Business (> 1 year),1225000,4,3176050,Not applicable: Already in Business,8,3180000,51,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1.5,Pre-venture/Nascent,0,0,0,No,0,0,23,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,61,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,4,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,32,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,33,Male/Female-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,0.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,33,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,2,Pre-venture/Nascent,0,0,0,No,0,0,71,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,4.5,In Business (> 1 year),0,1,0,Not applicable: Already in Business,1,150000,48,Male-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,7,Pre-venture/Nascent,0,0,0,No,0,0,42,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,21.25,Started with SBDC,2090000,9,2100000,Not applicable: Already in Business,15,2300000,54,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,Yes,123.25,Started with SBDC,312000,2,776022,Not applicable: Already in Business,2,977000,33,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,5.25,Started with SBDC,730000,5,460000,Not applicable: Already in Business,5,460000,44,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1.5,Started with SBDC,0,0,0,Not applicable: Already in Business,1,60000,81,Woman-Owned,Non-Hispanic,White/Caucasian
Anne Arundel County,Anne Arundel,Counseling,No,1,In Business (> 1 year),0,0,0,Not applicable: Already in Business,0,432000,62,Woman-Owned,Non-Hispanic,White/Caucasian
